interval_start,interval_end,roc_auc,pr_auc,p_borrow_rate_vs_open,p_ltv_vs_open,p_collateral_price_vs_6h,p_volatility_6h,p_drawdown_6h,p_ltv_change_1h,p_distance_to_liq,p_borrow_rate_trend,p_ltv_times_rate,p_debt_change_1h,p_volatility_ltv,p_hour_of_day,p_day_of_week,coef_const,coef_borrow_rate_vs_open,coef_ltv_vs_open,coef_collateral_price_vs_6h,coef_volatility_6h,coef_drawdown_6h,coef_ltv_change_1h,coef_distance_to_liq,coef_borrow_rate_trend,coef_ltv_times_rate,coef_debt_change_1h,coef_volatility_ltv,coef_hour_of_day,coef_day_of_week
2025-01-01 00:58:01,2025-01-01 00:58:01,0.48859733710797537,0.09075589362041403,9.570622529270568e-07,0.0007600586202734381,0.9050387293446804,0.36339205456286217,0.929126806957095,4.609936608205672e-05,0.9464592492508311,0.009441456660926176,0.012501668911446603,0.3031355856893938,0.04575973927531972,0.6037242391501932,0.8778688519996345,-2.4800670100270343,0.392088204844294,-0.14289914218532873,0.007426523870224182,-0.1528232347510611,0.005877895248890912,0.1582914578169574,-0.004585960632542565,-0.15594432825071344,-0.2400237658181673,-0.03860164088227205,0.33474254227126093,-0.01919983686576014,0.00626247081000903
2025-02-01 00:09:01,2025-02-01 00:09:01,0.6060773959798801,0.08454979862188569,0.009722012928458488,1.4007318808756324e-12,0.005930202963177976,0.8878329344983793,0.5174314055957703,0.9418083364737577,1.1479604188939684e-05,1.319973852028929e-08,0.0265440306272807,0.011513903136997865,0.3283099335230857,0.1516681896316199,0.5986515914606756,-3.1884837643568864,0.21912777815796414,0.30823621028499887,-0.19202499295792425,0.026037534491738366,-0.0501717541419081,0.0034010027655430866,0.37600647360271566,-0.3316673906757592,0.23780725966280658,0.08881647937796701,0.17766892202786438,0.06500563646526408,-0.02709418419374666
2025-03-01 03:11:31,2025-03-01 03:11:31,0.6245265151515151,0.059756149051993605,0.7016805438851463,1.8756653689148793e-27,1.1181784988691633e-10,0.7921546962230515,0.008608637245274907,0.044771579670497975,3.116398944450625e-12,0.007348472215953056,0.0009589711580849507,0.29518330580060026,0.16570413179564958,0.0012142725126746618,0.007012803207140146,-3.1439575695833786,0.015645449506347983,0.3768835562748255,-0.34805184063232353,-0.03588083031895698,-0.16144134700853546,0.07384191951183924,0.7559398986718446,-0.10698544076943979,0.3492434247320389,-0.029775279415079858,0.19617954888550362,0.12337681018696543,0.10511131661315834
2025-04-01 00:18:09,2025-04-01 00:18:09,0.5888804554079696,0.09249967369073353,0.0003481137604919122,1.0621762606857842e-13,4.0266177790015903e-07,0.0009211231780473666,0.021011297088441218,0.5265399174616672,0.08814206941714502,0.02292420314593316,0.8131169230736508,0.5920800268366727,0.0012653565376581379,0.05794910627503679,0.27224038068478473,-2.837045111038984,-0.5162563525173907,0.4994079194683943,-0.4169139204409945,-1.1127311266289934,-0.21499880818641362,-0.04413096874735534,0.5390819831988763,0.2529635020126593,0.07949846751211047,0.024533924796314818,1.0790996172331082,0.10249902919215496,0.057599315101767454
2025-05-01 04:32:33,2025-05-01 04:32:33,0.6802281536293164,0.21367409785530717,0.07937617398539173,3.6132202285846246e-47,0.014330256847677286,0.0023444590245187014,0.6309547057351302,0.024127501783838826,0.3460620752929663,0.0009410128042069146,0.08934485004522759,0.031941107065784013,0.0300326756889697,0.06617622769106965,0.5626931799624585,-2.451430177988186,-0.49142646698879716,0.6819212250051817,-0.26860118458111226,-0.9877785468488418,-0.053607970379715715,-0.14805003922715448,0.1332835555956445,0.5874228358805736,-0.5638575392333586,0.07493978245347181,0.7395902344542076,0.08729199451496512,0.035979616223554854
2025-06-01 00:53:27,2025-06-01 00:53:27,0.6481643356643357,0.16416056179039415,0.00013267687730438366,1.1115834174033398e-07,0.0005001409886251233,0.8244312140279616,0.06964311826320504,0.0003343908074738805,0.32526621508132514,0.5681583919322641,0.6404051312624498,0.1397646698445559,0.21558686183554565,0.1776206666641813,0.1433627976253859,-2.2041483945287683,-0.5046747290023132,0.29165743223787793,-0.2827608021740044,0.04360475824537008,-0.15540396152095015,-0.17921585369813098,-0.11566143503402108,0.08236345268965158,0.09140995079531401,0.0548141872423008,-0.25415756783444127,0.05400850225462578,-0.07142574918791127
2025-07-01 00:44:35,2025-07-01 00:44:35,0.6225060690943045,0.2333770038298002,0.31125222702111244,3.305365756701802e-14,0.5741897239434045,0.8670368446906456,0.35545822451841946,6.763310541941744e-07,5.999681072284484e-08,3.0682388741153006e-05,1.266588926067672e-11,0.4689530969746174,0.8083353925885453,0.008357225147605056,0.42326094975655226,-1.785228892422854,-0.077599951641622,0.5293789953187316,-0.03337920995611033,-0.02349254629407081,-0.060422530585992916,-0.3061675414789921,-0.8973039669144143,0.2810657776961667,-1.1620241258809985,0.027831412130353297,0.036745518204459975,0.10225043599051423,-0.03134898235034602
2025-08-01 01:42:17,2025-08-01 01:42:17,0.5942425309808191,0.215014469744498,0.4170813038836684,1.0926429280735238e-16,0.10527528336979075,0.2443500364719171,0.02419427741357623,0.4060956964402719,0.30004684000272797,0.015482979793635363,0.00045858413634838457,0.454879088912737,0.31546590331200863,0.03372099913304526,0.375728316995535,-1.6065429519438283,-0.03612730561421062,0.599524800833431,0.11009410934733099,0.18345650710123174,0.16865681330309998,-0.044345361362953195,-0.09939532215429456,0.0893416814035312,-0.49162444119499804,0.028803580668745558,-0.18906011733266137,0.09173150866560902,0.03803542652705364
2025-09-01 01:36:41,2025-09-01 01:36:41,0.5991697363375437,0.12346991513231477,4.256427196578676e-07,1.2054296047074155e-21,0.18642114523135178,0.11766364097287037,0.8216136790142102,1.8039827997359127e-07,0.01989772603789012,3.2320674556313344e-10,0.003544962500548358,0.035151018107219816,0.47498098843555203,0.009135865376576386,0.7211448167965564,-2.042855418313349,-1.9899502708232526,0.4262088914018291,-0.08171179723361949,-0.2924138771914595,0.015283209814907916,-0.21324950594820247,-0.5625280911740755,2.1469134830556547,-0.9604197350973297,0.06501935744311621,0.13387419557806832,0.08896886752463497,0.012261996018438222
2025-10-01 00:06:43,2025-10-01 00:06:43,0.5662516489395284,0.13289018170298023,1.5340418591919043e-05,7.372449801083809e-10,1.3100212494519902e-06,0.02707438527812027,0.023042723471113417,0.00014109371620079738,5.145694597398845e-21,0.6306558777344347,1.8595563732256442e-17,0.9595657470083641,0.0031563647747170397,4.493868837851213e-05,0.5305763421209893,-1.7314162325718723,0.665747632738013,0.9354203709872317,0.24383044589251127,0.2878610316079253,0.11005394074494461,-0.5421027774398804,-8.030555297516258,0.051358179387536715,-7.026496024214681,0.0013608897087883302,-0.9018841650821445,0.11667565582077774,-0.01688881241612823
2025-11-01 01:03:39,2025-11-01 01:03:39,0.6504691689008043,0.28790368289238627,2.3669468417942384e-23,0.011802616512308028,0.5528900527508198,0.0688771946346587,0.4423389139898398,0.21776073050835065,2.4816697488617114e-06,0.7118772422036193,4.009402255937943e-07,0.21540862219688062,0.03324616495527321,0.6362418528357294,0.03761072493707392,-1.4956815517607018,0.6438007236003154,0.18195413314727174,0.04684867214753004,-0.3259849795444271,-0.048724741986721894,-0.0694076605229034,-2.566258759436186,0.02534711489979042,-2.849862656914853,0.04743377335592512,0.4610189469143233,-0.020964772840108968,0.08985049302729735
